sentence,entity_name,entity_type,date,year,month,day,decade,is_test
Le Conseil fédéral était représenté par MM,Conseil fédéral,org,1908-01-31,1908,1,31,1900,False
"Brenner , Comtesse et Zemp , la Compagnie du Gothard , par ses directeurs : MM",Compagnie du Gothard,org,1908-01-31,1908,1,31,1900,False
"Le Conseil fédéral aurait dû le lui interdire , ajoute le professeur",Conseil fédéral,org,1908-01-31,1908,1,31,1900,False
Une autre interpellation demande des plications sur les nombreux cas d ' évasion qui se sont produits au pénitencier du Thorberg et une troisième a trait à l ' augmentation des traitements du corps enseignant primaire,Thorberg,org,1908-01-31,1908,1,31,1900,False
Les collègues de Bratschi aux ateliers de réparation des C . F . F . ont également déposé une couronne,C . F . F .,org,1908-05-15,1908,5,15,1900,False
". ' l _ ^ a gare des C . F . F . a expédié 44 pièces de tout bétail en 9 vagons , et les bateaux à ' vapeur 2 têtes bovines et 101 porcs",C . F . F .,org,1908-05-15,1908,5,15,1900,False
"20 . — De l ' agence Wolff : Suivant un télégramme reçu à Lisbonne , des patrouilles allemandes ont franchi , dans l ' Afrique orientale portugaise , le fleuve Lourio , qui sépare les deux districts du Mozambique et du Nyassa",agence Wolff,org,1918-01-21,1918,1,21,1910,False
"Les victimes des dernières collisions PETROGRAD , 20 ( Havas )",Havas,org,1918-01-21,1918,1,21,1910,False
"Kerensky désavoué PETROGRAD , 20 ( Havas )",Havas,org,1918-01-21,1918,1,21,1910,False
"A minuit , la séance continuait PÉTROGRAD , 19 ( Havas )",Havas,org,1918-01-21,1918,1,21,1910,False
") — Voici le résumé de la proposition de déclaration des droits ouvriers adoptée par le Comité exécutif central des soviets , lu à la Constituante : iy Assemblée constituante décide que la Russie est déclarée République des soviets ouvriers , soldats et paysans",République des soviets,org,1918-01-21,1918,1,21,1910,False
"La République des soviets est formée sur la base d ' une libre alliance de nations libres , constituant la Fédération république nationale des soviets",République des soviets,org,1918-01-21,1918,1,21,1910,False
"La République des soviets est formée sur la base d ' une libre alliance de nations libres , constituant la Fédération république nationale des soviets",Fédération république nationale des soviets,org,1918-01-21,1918,1,21,1910,False
"La Constituante est dissoute PETROGRAD , 20 ( Havas )",Havas,org,1918-01-21,1918,1,21,1910,False
"En vue de l ' application de l ' article 3 , Sme alinéa ( nouveau ) de la loi sur l ' impôt direct , disposant que : « la fortune et les ressources d ' une société en nom collectif , d ' une société en commandite ou d ' une succession , doivent être déclarées directement par les associés ou ayants - droit , proportionnellement à leur part > , le département des finances est autorisé : à organiser à l ' inspectorat des contributions un contrôle des impositions des successions , des sociétés en nom collectif ou en commandite ; à adresser à celles - ci un formulaire spécial de déclaration , afin de déterminer la part imposable de chaque associé ou ayant - droit . Cette déclaration spéciale ne dispense pas les contribuables intéressés de remplir leur déclaration personnelle . Les contribuables , propriétaires de biens immobiliers , non soumis à la souveraineté fiscale du canton de Neuchâtel , sont tenus d ' indiquer , sur leur déclaration d ' impôt , la valeur exacte de ces biens , en vue du calcul du taux de l ' impôt , conformément à l ' article 3 ( nouveau ) de la loi . Si le contribuable refuse de fournir les renseignements et les _ us _ ^ tiîications nécessaires , la commission de taxation fixe d ' office le taux applicable . Le département des finances arrêtera toutes les mesures d ' exécution non prévues par la loi sur l ' impôt direct . Banque cantonale . — Parmi les objets qui figurent à l ' ordre du jour de la session extraordinaire du Grand Conseil convoquée pour vendredi prochain , il convient d ' attirer l ' attention , notamment , sur le rapport du Conseil ' d ' Etat à l ' appui d ' un projet de décret portant revision de l ' article 3 de la loi sur la Banque cantonale neuchâteloise , du 26 février 1907 . il s ' agit du capital de dotation de notre établissement financier cantonal , que les organes de la banque et le gouvernement demandent à l ' auT torité législative d ' élever de dix à vingt _ miV lions de francs . Le budget pour 1918 . — Le Conseil d ' Etat ayant promulgué le 29 janvier 1918 les décrets votés par l ' autorités législative en date des 29 et 30 novembre 1917 , et l ' arrêté du ler février ayant accordé aux ecclésiastiques , en exécu - ) tion d ' un postulat du Grand Conseil , une allocation pour cause de renchérissement de la vie , le budget rectifié se présente comme suit : Dépenses , 8,022,329 fr . 87 ; recettes , 7,340,438 fr , 15 ; excédent de dépenses , 861,891 fr . 72 . Val - de - Travers . — Quatre chasseurs du val » Ion et quatre rabatteurs , dans l ' espace qui s ' é ) tend des rochers du Signal à Plancemont , en fort peu de temps , ont tué vendredi après midi six beaux renards",Banque cantonale neuchâteloise,org,1918-02-12,1918,2,12,1910,False
"Dimanche 10 février une fête fort réussie réunissait au Café de Tempérance dont la grande salle était décorée pour la circonstance , tous les groupes du « Lien boudrysan ¦ » avec un certain nombre d ' invités ' pour rappeler les premiers souvenirs du temps de la fondation et célébrer le _ llmo anniversa _ i re puisque le lOme avait passé _ Mjj ^ ^ _ lgggMjl _ ^ Mg _ ^ jjgjgg _ ^ gjggBgjgB _ ^ _ Mjggw g _ } ;",Café de Tempérance,org,1918-02-12,1918,2,12,1910,False
"Dimanche 10 février une fête fort réussie réunissait au Café de Tempérance dont la grande salle était décorée pour la circonstance , tous les groupes du « Lien boudrysan ¦ » avec un certain nombre d ' invités ' pour rappeler les premiers souvenirs du temps de la fondation et célébrer le _ llmo anniversa _ i re puisque le lOme avait passé _ Mjj ^ ^ _ lgggMjl _ ^ Mg _ ^ jjgjgg _ ^ gjggBgjgB _ ^ _ Mjggw g _ } ;",groupes du « Lien boudrysan,org,1918-02-12,1918,2,12,1910,False
"Mais ce qui nous a frappé tout particulièrement et ce qui aurait dû éveiller avec nous tous ceux qui aiment la propreté dans la maison , c ' est , que le Conseil fédéral ait blâmé M . Schoeller en lui exprimant sa réprobation",Conseil fédéral,org,1918-04-22,1918,4,22,1910,False
"Ce geste , le Conseil fédéral n ' avait pas le droit de le faire",Conseil fédéral,org,1918-04-22,1918,4,22,1910,False
"Si le Conseil fédéral avait été d ' avis de considérer l ' affaire Schoeller comme un acte ternissant la neutralité suisse , dont nous désirons sauvegarder la réputation virginale pour raisons de famille , il eût été de son devoir et fl Test encore à l ' heure actuelle , d ordonner une enquête",Conseil fédéral,org,1918-04-22,1918,4,22,1910,False
"Pour établir son innocence aux yeux de l ' opinion publique qui suit cette affaire de près , M . Schoeller aurait dû exiger une enquête , après , le - blâme du Conseil fédéral",Conseil fédéral,org,1918-04-22,1918,4,22,1910,False
"En cas de réhabilitation , le Conseil fédéral lui doit satisfaction pour le blâme s ' il est coupable d ' actes délictueux , il doit être condamné et non blâmé",Conseil fédéral,org,1918-04-22,1918,4,22,1910,False
"— ¦ ¦ ¦ ¦ ¦ ¦ y — _ 4 0 n traitait volontiers de défaitistes , de pessimistes , voire même de « boches > , ceux qui disaient depuis quelques semaines que la décision de la guerre dépendrait des Américains . Aujourd ' hui , M . Clemenceau , président du conseil , ministre de la guerre , qui connaît les forces exactes des Alliés , ne craint plus de dire l ' amère vérité . Le front est gardé par une ligne de soldats de plus en plus mince contre la masse des Allemands ramenés de Russie . Sur certains points de la dernière bataille , les Alliés étaient un contre cinq . Mais les effectifs ennemis s ' useront à leur tour , tandis que les Américains arriveront de plus en plus nombreux pour la partie décisive . Les Sammies occupent déjà certains secteurs , en Picardie , en Lorraine , en Wœvre ; et entre Oise et Marne , ils sont endivisionnés dans les troupes françaises ; partqut — les commentaires Havas le disent expressément — ils se sont très bien battus , ont fait preuve de sang - froid , de ténacité et d ' aptitudes tactiques . Leur entrée eh ligne est un réconfort et une espérance pour les Alliés . Selon les derniers renseignements , 1,200,000 Américains auraient déjà franchi l ' Océan , pour débarquer en Angleterre et en France ; mais sur ce nombre , il y aurait seulement 500,000 soldats , en partie sur le front , en partie dans les camps d instruction . Les 700,000 autres seraient occupés aux travaux de l ' arrière , à la construction de ports , de voies ferrées , de baraquements , au montage des canons , des autos , des camions , des avions , des ponts , de l ' immense matériel expédié par pièces des Etats - Unis , et enfin au déchargement des navires et au service des subsistances . La France et l ' Angleterre ne seraient pas en mesure d ' équiper et de nourrir une armée nouvelle qui atteindra peu à peu des effectifs formidables . H faut donc que l ' Amérique y pourvoie et soit en mesure de fournir à ses hommes tout ce dont ils auront besoin dès qu ' ils mettront le pied sur la terre ferme . Ceci explique la disproportion actuelle entre les combattants et les services civils ; mais les transports de troupes actives vont prendre le plus grand développement C ' est comme les hauts - fourneaux : il faut des mois pour construire l ' enveloppe de briques , remplir le gueulard de coke et de minerai , allumer les feux , les pousser au point de fusion , jusqu ' au moment où le métal sort enfin brûlant de la fournaise ; alors il n ' y a plus qu ' à alimenter en proportion des besoins . Les Allemands , après avoir ri du concours que les Américains peuvent apporter aux Alliés , commencent à en mesurer le danger pour eux - mêmes . Ils cherchent à troubler , même à détruire la navigation entre l ' Atlantique et l ' Europe . Subitement , on a appris l ' arrivée sur les côtes des Etats - Unis d ' un ou plusieurs sousmarins impériaux et le torpillage d ' une dizaine de bateaux de tout tonnage , parmi lesquels un grand paquebot , le « Carolina _ > , et de modestes sohooners de cabotage . Le < : Deutschland > avait jadis fourni la preuve de la possibilité de ces voyages au long cours , même sans escale de ravitaillement . Les nouveaux types de sous - marins , avec les orogrès réalisés depuis la guerre , pont en état de faire des raids de trois mois sans revenir à leur port d ' attache , ainsi qu ' on l ' a appris par les négociations au sujet des blés suisses . H faut donc que les Etats - Unis prennent dès maintenant de grandes précautions pour assurer la sécurité de leurs convois dès leur départ , et non plus seulement dans la _ pne européenne dangereuse . Les dépêches de » féw - York affirment que la marine américaine est prête à parer au danger , maintenant qu ' elle en connaît l ' existence",Alliés,org,1918-06-08,1918,6,8,1910,False
"— ¦ ¦ ¦ ¦ ¦ ¦ y — _ 4 0 n traitait volontiers de défaitistes , de pessimistes , voire même de « boches > , ceux qui disaient depuis quelques semaines que la décision de la guerre dépendrait des Américains . Aujourd ' hui , M . Clemenceau , président du conseil , ministre de la guerre , qui connaît les forces exactes des Alliés , ne craint plus de dire l ' amère vérité . Le front est gardé par une ligne de soldats de plus en plus mince contre la masse des Allemands ramenés de Russie . Sur certains points de la dernière bataille , les Alliés étaient un contre cinq . Mais les effectifs ennemis s ' useront à leur tour , tandis que les Américains arriveront de plus en plus nombreux pour la partie décisive . Les Sammies occupent déjà certains secteurs , en Picardie , en Lorraine , en Wœvre ; et entre Oise et Marne , ils sont endivisionnés dans les troupes françaises ; partqut — les commentaires Havas le disent expressément — ils se sont très bien battus , ont fait preuve de sang - froid , de ténacité et d ' aptitudes tactiques . Leur entrée eh ligne est un réconfort et une espérance pour les Alliés . Selon les derniers renseignements , 1,200,000 Américains auraient déjà franchi l ' Océan , pour débarquer en Angleterre et en France ; mais sur ce nombre , il y aurait seulement 500,000 soldats , en partie sur le front , en partie dans les camps d instruction . Les 700,000 autres seraient occupés aux travaux de l ' arrière , à la construction de ports , de voies ferrées , de baraquements , au montage des canons , des autos , des camions , des avions , des ponts , de l ' immense matériel expédié par pièces des Etats - Unis , et enfin au déchargement des navires et au service des subsistances . La France et l ' Angleterre ne seraient pas en mesure d ' équiper et de nourrir une armée nouvelle qui atteindra peu à peu des effectifs formidables . H faut donc que l ' Amérique y pourvoie et soit en mesure de fournir à ses hommes tout ce dont ils auront besoin dès qu ' ils mettront le pied sur la terre ferme . Ceci explique la disproportion actuelle entre les combattants et les services civils ; mais les transports de troupes actives vont prendre le plus grand développement C ' est comme les hauts - fourneaux : il faut des mois pour construire l ' enveloppe de briques , remplir le gueulard de coke et de minerai , allumer les feux , les pousser au point de fusion , jusqu ' au moment où le métal sort enfin brûlant de la fournaise ; alors il n ' y a plus qu ' à alimenter en proportion des besoins . Les Allemands , après avoir ri du concours que les Américains peuvent apporter aux Alliés , commencent à en mesurer le danger pour eux - mêmes . Ils cherchent à troubler , même à détruire la navigation entre l ' Atlantique et l ' Europe . Subitement , on a appris l ' arrivée sur les côtes des Etats - Unis d ' un ou plusieurs sousmarins impériaux et le torpillage d ' une dizaine de bateaux de tout tonnage , parmi lesquels un grand paquebot , le « Carolina _ > , et de modestes sohooners de cabotage . Le < : Deutschland > avait jadis fourni la preuve de la possibilité de ces voyages au long cours , même sans escale de ravitaillement . Les nouveaux types de sous - marins , avec les orogrès réalisés depuis la guerre , pont en état de faire des raids de trois mois sans revenir à leur port d ' attache , ainsi qu ' on l ' a appris par les négociations au sujet des blés suisses . H faut donc que les Etats - Unis prennent dès maintenant de grandes précautions pour assurer la sécurité de leurs convois dès leur départ , et non plus seulement dans la _ pne européenne dangereuse . Les dépêches de » féw - York affirment que la marine américaine est prête à parer au danger , maintenant qu ' elle en connaît l ' existence",Alliés,org,1918-06-08,1918,6,8,1910,False
"— ¦ ¦ ¦ ¦ ¦ ¦ y — _ 4 0 n traitait volontiers de défaitistes , de pessimistes , voire même de « boches > , ceux qui disaient depuis quelques semaines que la décision de la guerre dépendrait des Américains . Aujourd ' hui , M . Clemenceau , président du conseil , ministre de la guerre , qui connaît les forces exactes des Alliés , ne craint plus de dire l ' amère vérité . Le front est gardé par une ligne de soldats de plus en plus mince contre la masse des Allemands ramenés de Russie . Sur certains points de la dernière bataille , les Alliés étaient un contre cinq . Mais les effectifs ennemis s ' useront à leur tour , tandis que les Américains arriveront de plus en plus nombreux pour la partie décisive . Les Sammies occupent déjà certains secteurs , en Picardie , en Lorraine , en Wœvre ; et entre Oise et Marne , ils sont endivisionnés dans les troupes françaises ; partqut — les commentaires Havas le disent expressément — ils se sont très bien battus , ont fait preuve de sang - froid , de ténacité et d ' aptitudes tactiques . Leur entrée eh ligne est un réconfort et une espérance pour les Alliés . Selon les derniers renseignements , 1,200,000 Américains auraient déjà franchi l ' Océan , pour débarquer en Angleterre et en France ; mais sur ce nombre , il y aurait seulement 500,000 soldats , en partie sur le front , en partie dans les camps d instruction . Les 700,000 autres seraient occupés aux travaux de l ' arrière , à la construction de ports , de voies ferrées , de baraquements , au montage des canons , des autos , des camions , des avions , des ponts , de l ' immense matériel expédié par pièces des Etats - Unis , et enfin au déchargement des navires et au service des subsistances . La France et l ' Angleterre ne seraient pas en mesure d ' équiper et de nourrir une armée nouvelle qui atteindra peu à peu des effectifs formidables . H faut donc que l ' Amérique y pourvoie et soit en mesure de fournir à ses hommes tout ce dont ils auront besoin dès qu ' ils mettront le pied sur la terre ferme . Ceci explique la disproportion actuelle entre les combattants et les services civils ; mais les transports de troupes actives vont prendre le plus grand développement C ' est comme les hauts - fourneaux : il faut des mois pour construire l ' enveloppe de briques , remplir le gueulard de coke et de minerai , allumer les feux , les pousser au point de fusion , jusqu ' au moment où le métal sort enfin brûlant de la fournaise ; alors il n ' y a plus qu ' à alimenter en proportion des besoins . Les Allemands , après avoir ri du concours que les Américains peuvent apporter aux Alliés , commencent à en mesurer le danger pour eux - mêmes . Ils cherchent à troubler , même à détruire la navigation entre l ' Atlantique et l ' Europe . Subitement , on a appris l ' arrivée sur les côtes des Etats - Unis d ' un ou plusieurs sousmarins impériaux et le torpillage d ' une dizaine de bateaux de tout tonnage , parmi lesquels un grand paquebot , le « Carolina _ > , et de modestes sohooners de cabotage . Le < : Deutschland > avait jadis fourni la preuve de la possibilité de ces voyages au long cours , même sans escale de ravitaillement . Les nouveaux types de sous - marins , avec les orogrès réalisés depuis la guerre , pont en état de faire des raids de trois mois sans revenir à leur port d ' attache , ainsi qu ' on l ' a appris par les négociations au sujet des blés suisses . H faut donc que les Etats - Unis prennent dès maintenant de grandes précautions pour assurer la sécurité de leurs convois dès leur départ , et non plus seulement dans la _ pne européenne dangereuse . Les dépêches de » féw - York affirment que la marine américaine est prête à parer au danger , maintenant qu ' elle en connaît l ' existence",Havas,org,1918-06-08,1918,6,8,1910,False
"— ¦ ¦ ¦ ¦ ¦ ¦ y — _ 4 0 n traitait volontiers de défaitistes , de pessimistes , voire même de « boches > , ceux qui disaient depuis quelques semaines que la décision de la guerre dépendrait des Américains . Aujourd ' hui , M . Clemenceau , président du conseil , ministre de la guerre , qui connaît les forces exactes des Alliés , ne craint plus de dire l ' amère vérité . Le front est gardé par une ligne de soldats de plus en plus mince contre la masse des Allemands ramenés de Russie . Sur certains points de la dernière bataille , les Alliés étaient un contre cinq . Mais les effectifs ennemis s ' useront à leur tour , tandis que les Américains arriveront de plus en plus nombreux pour la partie décisive . Les Sammies occupent déjà certains secteurs , en Picardie , en Lorraine , en Wœvre ; et entre Oise et Marne , ils sont endivisionnés dans les troupes françaises ; partqut — les commentaires Havas le disent expressément — ils se sont très bien battus , ont fait preuve de sang - froid , de ténacité et d ' aptitudes tactiques . Leur entrée eh ligne est un réconfort et une espérance pour les Alliés . Selon les derniers renseignements , 1,200,000 Américains auraient déjà franchi l ' Océan , pour débarquer en Angleterre et en France ; mais sur ce nombre , il y aurait seulement 500,000 soldats , en partie sur le front , en partie dans les camps d instruction . Les 700,000 autres seraient occupés aux travaux de l ' arrière , à la construction de ports , de voies ferrées , de baraquements , au montage des canons , des autos , des camions , des avions , des ponts , de l ' immense matériel expédié par pièces des Etats - Unis , et enfin au déchargement des navires et au service des subsistances . La France et l ' Angleterre ne seraient pas en mesure d ' équiper et de nourrir une armée nouvelle qui atteindra peu à peu des effectifs formidables . H faut donc que l ' Amérique y pourvoie et soit en mesure de fournir à ses hommes tout ce dont ils auront besoin dès qu ' ils mettront le pied sur la terre ferme . Ceci explique la disproportion actuelle entre les combattants et les services civils ; mais les transports de troupes actives vont prendre le plus grand développement C ' est comme les hauts - fourneaux : il faut des mois pour construire l ' enveloppe de briques , remplir le gueulard de coke et de minerai , allumer les feux , les pousser au point de fusion , jusqu ' au moment où le métal sort enfin brûlant de la fournaise ; alors il n ' y a plus qu ' à alimenter en proportion des besoins . Les Allemands , après avoir ri du concours que les Américains peuvent apporter aux Alliés , commencent à en mesurer le danger pour eux - mêmes . Ils cherchent à troubler , même à détruire la navigation entre l ' Atlantique et l ' Europe . Subitement , on a appris l ' arrivée sur les côtes des Etats - Unis d ' un ou plusieurs sousmarins impériaux et le torpillage d ' une dizaine de bateaux de tout tonnage , parmi lesquels un grand paquebot , le « Carolina _ > , et de modestes sohooners de cabotage . Le < : Deutschland > avait jadis fourni la preuve de la possibilité de ces voyages au long cours , même sans escale de ravitaillement . Les nouveaux types de sous - marins , avec les orogrès réalisés depuis la guerre , pont en état de faire des raids de trois mois sans revenir à leur port d ' attache , ainsi qu ' on l ' a appris par les négociations au sujet des blés suisses . H faut donc que les Etats - Unis prennent dès maintenant de grandes précautions pour assurer la sécurité de leurs convois dès leur départ , et non plus seulement dans la _ pne européenne dangereuse . Les dépêches de » féw - York affirment que la marine américaine est prête à parer au danger , maintenant qu ' elle en connaît l ' existence",Alliés,org,1918-06-08,1918,6,8,1910,False
"— ¦ ¦ ¦ ¦ ¦ ¦ y — _ 4 0 n traitait volontiers de défaitistes , de pessimistes , voire même de « boches > , ceux qui disaient depuis quelques semaines que la décision de la guerre dépendrait des Américains . Aujourd ' hui , M . Clemenceau , président du conseil , ministre de la guerre , qui connaît les forces exactes des Alliés , ne craint plus de dire l ' amère vérité . Le front est gardé par une ligne de soldats de plus en plus mince contre la masse des Allemands ramenés de Russie . Sur certains points de la dernière bataille , les Alliés étaient un contre cinq . Mais les effectifs ennemis s ' useront à leur tour , tandis que les Américains arriveront de plus en plus nombreux pour la partie décisive . Les Sammies occupent déjà certains secteurs , en Picardie , en Lorraine , en Wœvre ; et entre Oise et Marne , ils sont endivisionnés dans les troupes françaises ; partqut — les commentaires Havas le disent expressément — ils se sont très bien battus , ont fait preuve de sang - froid , de ténacité et d ' aptitudes tactiques . Leur entrée eh ligne est un réconfort et une espérance pour les Alliés . Selon les derniers renseignements , 1,200,000 Américains auraient déjà franchi l ' Océan , pour débarquer en Angleterre et en France ; mais sur ce nombre , il y aurait seulement 500,000 soldats , en partie sur le front , en partie dans les camps d instruction . Les 700,000 autres seraient occupés aux travaux de l ' arrière , à la construction de ports , de voies ferrées , de baraquements , au montage des canons , des autos , des camions , des avions , des ponts , de l ' immense matériel expédié par pièces des Etats - Unis , et enfin au déchargement des navires et au service des subsistances . La France et l ' Angleterre ne seraient pas en mesure d ' équiper et de nourrir une armée nouvelle qui atteindra peu à peu des effectifs formidables . H faut donc que l ' Amérique y pourvoie et soit en mesure de fournir à ses hommes tout ce dont ils auront besoin dès qu ' ils mettront le pied sur la terre ferme . Ceci explique la disproportion actuelle entre les combattants et les services civils ; mais les transports de troupes actives vont prendre le plus grand développement C ' est comme les hauts - fourneaux : il faut des mois pour construire l ' enveloppe de briques , remplir le gueulard de coke et de minerai , allumer les feux , les pousser au point de fusion , jusqu ' au moment où le métal sort enfin brûlant de la fournaise ; alors il n ' y a plus qu ' à alimenter en proportion des besoins . Les Allemands , après avoir ri du concours que les Américains peuvent apporter aux Alliés , commencent à en mesurer le danger pour eux - mêmes . Ils cherchent à troubler , même à détruire la navigation entre l ' Atlantique et l ' Europe . Subitement , on a appris l ' arrivée sur les côtes des Etats - Unis d ' un ou plusieurs sousmarins impériaux et le torpillage d ' une dizaine de bateaux de tout tonnage , parmi lesquels un grand paquebot , le « Carolina _ > , et de modestes sohooners de cabotage . Le < : Deutschland > avait jadis fourni la preuve de la possibilité de ces voyages au long cours , même sans escale de ravitaillement . Les nouveaux types de sous - marins , avec les orogrès réalisés depuis la guerre , pont en état de faire des raids de trois mois sans revenir à leur port d ' attache , ainsi qu ' on l ' a appris par les négociations au sujet des blés suisses . H faut donc que les Etats - Unis prennent dès maintenant de grandes précautions pour assurer la sécurité de leurs convois dès leur départ , et non plus seulement dans la _ pne européenne dangereuse . Les dépêches de » féw - York affirment que la marine américaine est prête à parer au danger , maintenant qu ' elle en connaît l ' existence",Alliés,org,1918-06-08,1918,6,8,1910,False
"La presse des Etats - Unis fait autour de cette tentative d ' intimidation ce que Gordon Bennet appelait « un bruit du diable > et l ' opinion publique est montée au plus haut degré contre les Allemands , leurs espions et leurs méthodes de guerre . Loin de ralentir le transport des troupes en Europe , le raid d ' essai des sous - marins aura pour résultat de l ' accélérer . • * • Tout ce que dit la < Revue » paraît rassurant pour les affaires de l ' Entente , à condition cependant que celle - ci n ' en reste pas à cette affirmation que « le temps travaille pour les Alliés >",Entente,org,1918-06-08,1918,6,8,1910,False
"La presse des Etats - Unis fait autour de cette tentative d ' intimidation ce que Gordon Bennet appelait « un bruit du diable > et l ' opinion publique est montée au plus haut degré contre les Allemands , leurs espions et leurs méthodes de guerre . Loin de ralentir le transport des troupes en Europe , le raid d ' essai des sous - marins aura pour résultat de l ' accélérer . • * • Tout ce que dit la < Revue » paraît rassurant pour les affaires de l ' Entente , à condition cependant que celle - ci n ' en reste pas à cette affirmation que « le temps travaille pour les Alliés >",Alliés,org,1918-06-08,1918,6,8,1910,False
"Si l ' Entente laisse à l ' Allemagne la latitude dé reconstituer son armée en y incorporant tous les Finlandais , les Russes , les Ukrainiens et les Polonais qu ' elle mobilisera de gré ou de force , le temps aura aussi travaillé pour l ' Allemagne",Entente,org,1918-06-08,1918,6,8,1910,False
